127.0.0.1 - - [11/Sep/2024:08:45:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Sep/2024:08:45:55 +0900] "GET /webPro/html/days02/ex11.html HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [11/Sep/2024:08:47:39 +0900] "GET /webPro/html/days02/ex13.html HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:16:46 +0900] "GET /webPro/images/SiSt.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:20:46 +0900] "GET /webpro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:20:55 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:20:55 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:20:55 +0900] "GET /webpro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:20 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:20 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:20 +0900] "GET /webpro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:20 +0900] "GET /webPro/images/SiSt.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:29 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:29 +0900] "GET /webpro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:29 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:31 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:31 +0900] "GET /webpro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:31 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:32 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:32 +0900] "GET /webpro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:32 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:22:05 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:22:05 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:22:05 +0900] "GET /webpro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:22:15 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:22:15 +0900] "GET /webpro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:22:15 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:22:20 +0900] "GET /webpro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:22:34 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:22:34 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:22:34 +0900] "GET /webpro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:23:00 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:23:00 +0900] "GET /webpro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:23:00 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:24:01 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:24:01 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:24:01 +0900] "GET /webpro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:24:41 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:24:41 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:25:32 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:25:32 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 200 109517
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:26:09 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:27:40 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 200 109517
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:27:51 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:30:21 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:33:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:39:33 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:40:15 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:40:35 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [11/Sep/2024:10:09:36 +0900] "GET /webPro/html/days03/ex02.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [11/Sep/2024:10:09:36 +0900] "GET /webPro/images/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [11/Sep/2024:10:32:12 +0900] "GET /webPro/html/days03/ex03.html HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [11/Sep/2024:10:32:12 +0900] "GET /webPro/images/smiley.gif HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [11/Sep/2024:10:33:04 +0900] "GET /webPro/html/days03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:10:33:10 +0900] "GET /webPro/html/days03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:10:33:15 +0900] "GET /webPro/html/days03/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:10:33:40 +0900] "GET /webPro/html/days03/ex03.html HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [11/Sep/2024:10:50:59 +0900] "GET /webPro/html/days03/ex04.html HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [11/Sep/2024:10:50:59 +0900] "GET /webPro/images/workplace.jpg HTTP/1.1" 200 31874
