127.0.0.1 - - [01/Oct/2024:08:55:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Oct/2024:08:55:51 +0900] "GET /webPro/javascript/days04/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2024:08:55:53 +0900] "GET /webPro/javascript/days04/ex06_ok.jsp?subject=eng HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [01/Oct/2024:08:55:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2024:08:56:03 +0900] "GET /webPro/javascript/days04/ex06.html HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [01/Oct/2024:08:56:04 +0900] "GET /webPro/javascript/days04/ex06_ok.jsp?subject=eng HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [01/Oct/2024:08:56:07 +0900] "GET /webPro/javascript/days04/ex06_ok.jsp?subject=eng HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [01/Oct/2024:08:56:08 +0900] "GET /webPro/javascript/days04/ex06_ok.jsp?subject=eng HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [01/Oct/2024:08:56:11 +0900] "GET /webPro/javascript/days04/ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2024:08:56:14 +0900] "GET /webPro/javascript/days04/ex06_ok.jsp?subject= HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [01/Oct/2024:08:56:33 +0900] "GET /webPro/javascript/days04/ex06.html HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [01/Oct/2024:08:56:37 +0900] "GET /webPro/javascript/days04/ex06_ok.jsp?subject=pe HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [01/Oct/2024:08:56:39 +0900] "GET /webPro/javascript/days04/ex06.html HTTP/1.1" 304 -
